CSU_ID,ITEM_NAME,YEAR,MONTH,CSU_AVG_PRICE,ROHLIK_AVG_PRICE,KOSIK_AVG_PRICE,ITESCO_AVG_PRICE,ROHLIK_DIFF_FROM_CSU,KOSIK_DIFF_FROM_CSU,ITESCO_DIFF_FROM_CSU,ROHLIK_MIN_PRICE,KOSIK_MIN_PRICE,ITESCO_MIN_PRICE,ROHLIK_MAX_PRICE,KOSIK_MAX_PRICE,ITESCO_MAX_PRICE,ROHLIK_VAR_PRICE,KOSIK_VAR_PRICE,ITESCO_VAR_PRICE
114701,Vejce slepičí čerstvá ,2021,12,25.33,58.225348189,71.344534413,39.356521739,-32.895348189,-46.014534413,-14.026521739,28.3,26.633333333,32.9,99.9,124.9,46.9,603.69591992,1119.416346474,30.118533799
114701,Vejce slepičí čerstvá ,2022,1,29.37,58.009763314,71.535612536,39.91980198,-28.639763314,-42.165612536,-10.54980198,28.3,26.633333333,24.9,99.9,124.9,46.9,586.912218935,1157.69751505,36.41960396
114701,Vejce slepičí čerstvá ,2022,2,28.2,59.320526316,71.692914654,42.676699029,-31.120526316,-43.492914654,-14.476699029,28.3,28.3,34.9,99.9,124.9,46.9,578.567018192,1132.309420967,21.841804683
114701,Vejce slepičí čerstvá ,2022,3,29.36,61.434104046,70.760526316,42.522807018,-32.074104046,-41.400526316,-13.162807018,25,28.3,36.9,99.9,124.9,49.9,544.18381905,1209.351993456,21.316643378
114701,Vejce slepičí čerstvá ,2022,4,30.11,62,75.112355212,46.481395349,-31.89,-45.002355212,-16.371395349,30,29.966666667,35.9,99.9,124.9,49.9,514.731273713,1245.621092809,17.823401163
114701,Vejce slepičí čerstvá ,2022,5,33.39,63.078701299,76.404662698,47.037096774,-29.688701299,-43.014662698,-13.647096774,15,28.3,35.9,116.5,124.9,49.9,559.634701434,1291.323461526,10.50950695
114701,Vejce slepičí čerstvá ,2022,6,34.48,68.978857143,76.927540361,46.544067797,-34.498857143,-42.447540361,-12.064067797,33.3,26.633333333,39.9,116.5,124.9,49.9,752.677488661,1307.737743016,11.154280748
114701,Vejce slepičí čerstvá ,2022,7,33.66,69.72972973,75.866522367,47.15,-36.06972973,-42.206522367,-13.49,33.3,33.3,42.9,116.5,124.9,49.9,742.700468761,1239.000201267,8.758130081
114701,Vejce slepičí čerstvá ,2022,8,35.9,70.476363636,75.845141795,46.358333333,-34.576363636,-39.945141795,-10.458333333,33.3,33.3,39.9,116.5,124.9,49.9,699.831080492,1232.302179717,14.166316527
114701,Vejce slepičí čerstvá ,2022,9,35.51,75.061864407,77.246334716,46.167175573,-39.551864407,-41.736334716,-10.657175573,33.3,33.3,39.9,133.2,124.9,49.9,936.685336644,1253.67633026,18.828068115
